,id,embedding,prediction,ground_truth
0,2t6u8l,"[-0.9977643489837646, -0.993739664554596, 0.9497570991516113, -0.9710695743560791, -0.97283935546875, -0.9913420081138611, -0.9985185265541077, -0.9979369044303894, -0.9632640480995178, -0.9922885894775391]",8.0,4.0
1,2t5c8b,"[-0.9781316518783569, -0.955116868019104, 0.9887365698814392, -0.9893213510513306, -0.5815140008926392, -0.9915988445281982, -0.9928612112998962, -0.9796528816223145, -0.9016276001930237, -0.9673149585723877]",8.0,4.0
2,2t57np,"[-0.9878888726234436, -0.9560239315032959, 0.9097659587860107, -0.9968795776367188, -0.9831349849700928, -0.9868752956390381, -0.987977147102356, -0.9923455119132996, -0.9122715592384338, -0.9351828694343567]",8.0,8.0
3,2t2ksx,"[-0.9889224767684937, -0.9493762254714966, 0.9701492786407471, -0.9678102731704712, -0.922111988067627, -0.751414954662323, -0.9583601951599121, -0.8666319251060486, -0.8508556485176086, -0.971518874168396]",8.0,7.0
4,2t45rt,"[-0.9380619525909424, -0.9712282419204712, 0.9282742142677307, -0.9857745170593262, -0.9621514678001404, -0.9886063933372498, -0.9905309081077576, -0.9859573245048523, -0.8533332347869873, -0.9751365184783936]",8.0,4.0
5,2t0gqy,"[-0.9719425439834595, -0.9847028851509094, 0.9310994148254395, -0.9481716156005859, -0.9138699769973755, -0.9352712631225586, -0.9867313504219055, -0.9885256290435791, -0.9008187651634216, -0.9652063846588135]",8.0,4.0
6,2t3x6r,"[-0.9889793395996094, -0.9807986617088318, 0.9576202630996704, -0.993267297744751, -0.9563099145889282, -0.9950761795043945, -0.9870852828025818, -0.997089147567749, -0.9073083400726318, -0.9913343787193298]",8.0,9.0
7,2sy3ig,"[-0.9879409670829773, -0.989066481590271, 0.9747977256774902, -0.9869555234909058, -0.9130155444145203, -0.9905835390090942, -0.9922978281974792, -0.9633823037147522, -0.850327730178833, -0.9743658900260925]",8.0,8.0
8,2t35o4,"[-0.9599176645278931, -0.9579108953475952, 0.8820815682411194, -0.9378225207328796, -0.9430564045906067, -0.8959046602249146, -0.9652742743492126, -0.9868097305297852, -0.9213224649429321, -0.9745578765869141]",8.0,9.0
9,2su72d,"[-0.9504942297935486, -0.9840397238731384, 0.9919841885566711, -0.9490148425102234, -0.9750640392303467, -0.9921817183494568, -0.9331043362617493, -0.6927472352981567, -0.9224502444267273, -0.989432692527771]",8.0,8.0
10,2t2ii6,"[-0.9922715425491333, -0.9802646040916443, 0.9831810593605042, -0.9847939610481262, -0.990862250328064, -0.9807571172714233, -0.9874060750007629, -0.9845107197761536, -0.8126729130744934, -0.9748002886772156]",8.0,5.0
11,2stq8j,"[-0.9765868782997131, -0.9391096234321594, 0.967706561088562, -0.9525161981582642, -0.9077944159507751, -0.9471074342727661, -0.9879863858222961, -0.9802567362785339, -0.7627834677696228, -0.9653167128562927]",8.0,0.0
12,2t0jxc,"[-0.9856687188148499, -0.987554132938385, 0.6129088997840881, -0.9700685739517212, -0.9895702600479126, -0.9069749116897583, -0.9704921245574951, -0.9634567499160767, -0.942120373249054, -0.9876848459243774]",8.0,4.0
13,2skfzg,"[-0.922153651714325, -0.9661216139793396, 0.816414475440979, -0.9066983461380005, -0.9354953765869141, -0.9584466218948364, -0.9493474364280701, -0.9777089357376099, -0.48634588718414307, -0.9513903856277466]",3.0,4.0
14,2t0alc,"[-0.9715157151222229, -0.9887301325798035, 0.8822954893112183, -0.9694734811782837, -0.9796983003616333, -0.9630860090255737, -0.9954069256782532, -0.991854190826416, -0.9403392672538757, -0.9810113310813904]",8.0,5.0
15,2sjcqa,"[-0.9718111753463745, -0.8507608771324158, 0.9390342235565186, -0.9562157988548279, -0.9526034593582153, -0.9293143153190613, -0.7642747759819031, -0.9487817287445068, -0.9117528796195984, -0.8992898464202881]",8.0,9.0
16,2sxsff,"[-0.9890379905700684, -0.9836646318435669, 0.9465846419334412, -0.9322432279586792, -0.8622291088104248, -0.9953956604003906, -0.9896574020385742, -0.9913360476493835, -0.9428215622901917, -0.9417619109153748]",8.0,4.0
17,2sikqb,"[-0.9804327487945557, -0.9859005808830261, 0.9598330855369568, -0.9708521366119385, -0.968561589717865, -0.9913691878318787, -0.9906413555145264, -0.9836310148239136, -0.8595580458641052, -0.989914059638977]",8.0,3.0
18,2svquo,"[-0.9804783463478088, -0.9906569719314575, 0.8455623984336853, -0.9881680607795715, -0.8951022028923035, -0.9629245400428772, -0.9956365823745728, -0.9645199775695801, -0.7007031440734863, -0.9827674627304077]",8.0,3.0
19,2sg372,"[-0.9921680092811584, -0.9885304570198059, 0.9057501554489136, -0.9920340180397034, -0.97784823179245, -0.9944297671318054, -0.9708061814308167, -0.9839447736740112, -0.9723502993583679, -0.9781598448753357]",8.0,4.0
20,2svlge,"[-0.9859937429428101, -0.9916911125183105, 0.9498161673545837, -0.9333972334861755, -0.9400580525398254, -0.9862247705459595, -0.9376886487007141, -0.9525203108787537, -0.982732892036438, -0.9766456484794617]",8.0,4.0
21,2sfm6x,"[-0.9593580961227417, -0.9563279151916504, 0.9579427242279053, -0.9539353847503662, -0.8923656344413757, -0.9949692487716675, -0.8963109254837036, -0.9865078926086426, -0.9327887296676636, -0.961955189704895]",8.0,0.0
22,2srqng,"[-0.9825318455696106, -0.9877734780311584, 0.9484518766403198, -0.9341059923171997, -0.9882105588912964, -0.8993355631828308, -0.9104111790657043, -0.9654436111450195, -0.9522189497947693, -0.9848418235778809]",8.0,7.0
23,2sbiui,"[-0.9959042072296143, -0.9814432263374329, 0.9483157992362976, -0.993802547454834, -0.9805177450180054, -0.9928253889083862, -0.9940484762191772, -0.9916267395019531, -0.9571748971939087, -0.9865573048591614]",8.0,7.0
24,2srq0t,"[-0.9753466248512268, -0.9823898673057556, 0.9750310182571411, -0.9726318120956421, -0.9875525236129761, -0.9775740504264832, -0.9869202375411987, -0.9789255261421204, -0.7909724712371826, -0.9806145429611206]",8.0,3.0
