,id,embedding,prediction,ground_truth
0,2t6u8l,"[-0.22501684725284576, -0.029330583289265633, -0.3070654273033142, 0.0164785236120224, 0.07474672049283981, -0.022770406678318977, 0.11198635399341583, 0.30571603775024414, -0.39402133226394653, -0.32769113779067993]",2,2
1,2t57np,"[0.2813028395175934, 0.012974992394447327, -0.1595436930656433, -0.052468884736299515, -0.3989165127277374, -0.4094831645488739, 0.07842320948839188, 0.09583509713411331, -0.30469122529029846, -0.20576690137386322]",0,2
2,2t45rt,"[0.07794638723134995, 0.22722329199314117, -0.032642193138599396, 0.07055728882551193, -0.041372235864400864, -0.07692901045084, 0.058375515043735504, -0.01842520199716091, -0.0947980061173439, 0.1107199564576149]",2,2
3,2t3x6r,"[-0.35747987031936646, -0.19822020828723907, -0.029144758358597755, -0.21603484451770782, -0.17810916900634766, -0.16951853036880493, 0.057832345366477966, -0.11975178867578506, -0.21281050145626068, 0.22233504056930542]",0,0
4,2t35o4,"[-0.12524530291557312, -0.040538836270570755, 0.0028388891369104385, -0.20719048380851746, 0.14330460131168365, -0.17115505039691925, 0.17732423543930054, -0.20842701196670532, -0.30948424339294434, 0.36066222190856934]",0,0
5,2t2ii6,"[0.7268966436386108, -0.08236262202262878, -0.010298801586031914, 0.1227417141199112, -0.04433038458228111, -0.09664411097764969, 0.04644037038087845, 0.07252930849790573, -0.2671118378639221, -0.4591575264930725]",2,2
6,2t0jxc,"[0.06968806684017181, -0.18704423308372498, -0.4919440448284149, 0.05511242523789406, 0.07153342664241791, -0.08683713525533676, -0.06813772767782211, -0.034699246287345886, -0.33443576097488403, -0.3953680992126465]",2,2
7,2t0alc,"[0.6508247256278992, 0.06490857154130936, 0.3144495189189911, 0.10097663104534149, 0.07932722568511963, -0.021101027727127075, 0.48449206352233887, 0.13959920406341553, -0.47419703006744385, -0.05655420199036598]",2,2
8,2sxsff,"[0.07872657477855682, 0.28079840540885925, 0.2680526375770569, -0.01474358793348074, -0.07566472887992859, -0.12995631992816925, -0.007135366089642048, -0.03015601634979248, -0.2580377757549286, -0.47920334339141846]",2,1
9,2svquo,"[-0.23788954317569733, -0.04492039233446121, 0.08946612477302551, 0.0771985650062561, 0.27076154947280884, -0.027235858142375946, 0.10397708415985107, 0.17959114909172058, -0.4805651307106018, -0.18752512335777283]",2,2
10,2svlge,"[-0.31685489416122437, -0.1955157071352005, -0.0772283673286438, 0.004995888564735651, 0.03655309975147247, -0.05085669457912445, -0.12925048172473907, -0.03313953056931496, -0.01457519456744194, 0.021472657099366188]",1,0
11,2srqng,"[-0.07001346349716187, -0.05693375691771507, 0.02079903334379196, 0.17451955378055573, -0.033071767538785934, 0.002455939305946231, -0.11012566089630127, -0.3131357431411743, -0.16995805501937866, -0.09829558432102203]",2,1
12,2srq0t,"[-0.25682729482650757, -0.13364717364311218, -0.02277291566133499, -0.16348470747470856, 0.24455007910728455, -0.22054320573806763, 0.07936232537031174, -0.007977203465998173, -0.04935402423143387, 0.11737992614507675]",0,2
13,2sqyu2,"[0.006789963226765394, -0.15433269739151, -0.003969548735767603, 0.051479075103998184, 0.043298933655023575, -0.1289213001728058, 0.07579019665718079, -0.216010183095932, -0.4605156183242798, 0.24143722653388977]",2,1
